index,date_time,open,high,low,close,buyer,seller,value,delta_type
0,2023-06-01 09:45:00,162.9,162.9,162.9,162.9,0,0,33380,equals
1,2023-06-01 10:00:00,162.85,163.47,162.81,163.01,342350,753770,1096120,buyer
2,2023-06-01 10:15:00,163.02,163.2,162.5,163.2,177790,704310,882100,buyer
3,2023-06-01 10:30:00,163.2,163.42,163.0,163.23,200160,426340,626500,buyer
4,2023-06-01 10:45:00,163.24,163.28,162.8,162.99,114390,258130,372520,buyer
5,2023-06-01 11:00:00,162.99,163.04,162.71,162.84,123870,288710,412580,buyer
6,2023-06-01 11:15:00,162.84,162.93,162.6,162.85,111940,425210,537150,buyer
7,2023-06-01 11:30:00,162.88,163.23,162.77,163.06,127810,214270,342080,buyer
8,2023-06-01 11:45:00,163.06,163.2,162.88,163.0,308150,223610,531760,seller
9,2023-06-01 12:00:00,162.98,163.06,162.36,162.44,123860,409840,533700,buyer
10,2023-06-01 12:15:00,162.42,162.84,162.3,162.65,182350,371030,553380,buyer
11,2023-06-01 12:30:00,162.63,162.87,162.37,162.42,229500,272160,501660,buyer
12,2023-06-01 12:45:00,162.42,162.62,162.32,162.34,170240,123940,294180,seller
13,2023-06-01 13:00:00,162.33,162.36,162.01,162.3,232770,298620,531390,buyer
14,2023-06-01 13:15:00,162.3,162.37,162.05,162.3,137160,394550,531710,buyer
15,2023-06-01 13:30:00,162.29,162.49,162.15,162.36,130470,548780,679250,buyer
16,2023-06-01 13:45:00,162.35,162.42,162.1,162.2,156210,285310,441520,buyer
17,2023-06-01 14:00:00,162.2,162.26,162.18,162.21,101580,103770,205350,buyer
18,2023-06-01 14:15:00,162.2,162.53,162.2,162.41,147950,309040,456990,buyer
19,2023-06-01 14:30:00,162.42,162.5,162.4,162.5,121010,263570,384580,buyer
20,2023-06-01 14:45:00,162.5,162.5,162.1,162.16,328050,206180,534230,seller
21,2023-06-01 15:00:00,162.16,163.07,162.08,162.35,127730,726020,853750,buyer
22,2023-06-01 15:15:00,162.34,162.44,162.03,162.09,161310,148910,310220,seller
23,2023-06-01 15:30:00,162.1,162.23,162.0,162.02,207380,206280,413660,seller
24,2023-06-01 15:45:00,162.02,162.27,162.0,162.2,209000,242280,451280,buyer
25,2023-06-01 16:00:00,162.18,162.2,161.8,162.12,296210,366950,663160,buyer
26,2023-06-01 16:15:00,162.11,162.14,161.83,161.9,73590,145350,218940,buyer
27,2023-06-01 16:30:00,161.89,162.0,161.8,161.96,106970,136440,243410,buyer
28,2023-06-01 16:45:00,161.95,162.0,161.6,161.68,118510,213640,332150,buyer
29,2023-06-01 17:00:00,161.66,162.07,161.5,161.88,194220,394040,588260,buyer
30,2023-06-01 17:15:00,161.88,162.29,161.8,162.08,56590,331250,387840,buyer
31,2023-06-01 17:30:00,162.08,162.24,161.86,162.24,43560,162280,205840,buyer
32,2023-06-01 17:45:00,162.23,162.29,161.93,162.02,68850,134280,203130,buyer
33,2023-06-01 18:00:00,162.02,162.1,161.95,162.01,42150,61570,103720,buyer
34,2023-06-01 18:15:00,162.02,162.12,162.0,162.06,38400,83970,122370,buyer
35,2023-06-01 18:30:00,162.06,162.07,161.9,161.9,67750,103470,171220,buyer
36,2023-06-01 18:45:00,162.2,162.2,162.2,162.2,0,284960,284960,buyer
37,2023-06-01 19:00:00,162.0,162.28,162.0,162.13,44640,49910,94550,buyer
38,2023-06-01 19:15:00,162.13,162.27,162.1,162.1,41820,79190,121010,buyer
39,2023-06-01 19:30:00,162.1,162.13,162.1,162.1,135650,43950,179600,seller
40,2023-06-01 19:45:00,162.1,162.15,162.0,162.01,77290,47980,125270,seller
41,2023-06-01 20:00:00,162.0,162.12,161.91,162.09,80090,88910,169000,buyer
42,2023-06-01 20:15:00,162.09,162.12,161.98,162.0,23610,61020,84630,buyer
43,2023-06-01 20:30:00,162.0,162.05,161.8,161.85,69220,80220,149440,buyer
44,2023-06-01 20:45:00,161.85,161.9,161.7,161.88,82500,122580,205080,buyer
45,2023-06-01 21:00:00,161.89,161.93,161.8,161.89,27550,41500,69050,buyer
46,2023-06-01 21:15:00,161.89,162.0,161.84,161.92,30050,89780,119830,buyer
47,2023-06-01 21:30:00,161.96,161.96,161.65,161.75,42430,114640,157070,buyer
48,2023-06-01 21:45:00,161.75,161.76,161.62,161.65,45430,65710,111140,buyer
49,2023-06-01 22:00:00,161.68,161.84,161.6,161.74,64000,117390,181390,buyer
50,2023-06-01 22:15:00,161.74,161.77,161.65,161.7,47990,30740,78730,seller
51,2023-06-01 22:30:00,161.7,161.85,161.65,161.84,26680,57770,84450,buyer
52,2023-06-01 22:45:00,161.83,161.84,161.6,161.61,101600,78840,180440,seller
53,2023-06-01 23:00:00,161.6,161.63,161.6,161.61,64310,75970,140280,buyer
54,2023-06-01 23:15:00,161.61,161.62,161.6,161.6,105160,54650,159810,seller
55,2023-06-01 23:30:00,161.6,161.61,161.55,161.6,75290,105700,180990,buyer
56,2023-06-01 23:45:00,161.6,161.6,161.54,161.55,47300,44210,91510,seller
57,2023-06-02 09:45:00,161.01,161.01,161.01,161.01,95960,0,95960,seller
58,2023-06-02 10:00:00,161.1,162.19,161.1,161.81,234100,838720,1072820,buyer
